,date,close,open,high,low,volume
0,2018-12-21,173.0,172.0,174.5,171.0,4764301.0
1,2018-12-24,172.5,171.5,173.5,171.5,1757581.0
2,2018-12-25,171.0,171.0,172.5,170.5,2548195.0
3,2018-12-26,170.5,171.0,172.5,169.5,3089729.0
4,2018-12-27,169.5,173.0,174.0,169.5,5426114.0
5,2018-12-28,172.5,169.5,172.5,169.5,2470997.0
6,2019-01-02,173.5,173.0,174.5,171.5,3225812.0
7,2019-01-03,172.5,174.0,176.0,172.5,5778461.0
8,2019-01-04,177.0,172.5,178.0,172.5,7426343.0
9,2019-01-07,177.0,178.0,178.0,176.5,3662788.0
10,2019-01-08,177.5,177.0,178.0,176.5,2416604.0
11,2019-01-09,178.5,178.0,179.0,177.0,4437585.0
12,2019-01-10,174.0,178.5,178.5,172.5,8216013.0
13,2019-01-11,169.0,173.5,174.0,167.5,19250731.0
14,2019-01-14,169.0,167.0,171.0,166.0,7808477.0
15,2019-01-15,172.0,170.0,172.5,169.5,5213082.0
16,2019-01-16,171.5,172.5,172.5,169.0,7528520.0
17,2019-01-17,171.0,170.0,171.5,169.5,4141426.0
18,2019-01-18,172.0,170.5,172.5,170.0,4060784.0
19,2019-01-21,172.0,172.5,173.5,171.5,2809225.0
20,2019-01-22,171.5,170.5,171.5,169.5,4517404.0
21,2019-01-23,175.0,171.0,175.5,171.0,10441109.0
22,2019-01-24,177.0,174.5,177.0,173.5,8873832.0
23,2019-01-25,177.0,177.5,177.5,175.0,3417523.0
24,2019-01-28,177.5,177.5,179.0,176.0,4649200.0
25,2019-01-29,179.5,177.0,179.5,177.0,9127126.0
26,2019-01-30,179.0,179.5,180.5,178.0,7553464.0
27,2019-01-31,178.5,180.0,180.5,178.5,5138608.0
28,2019-02-01,180.0,179.5,180.5,179.0,3860163.0
29,2019-02-04,180.0,180.0,180.5,178.5,1945088.0
30,2019-02-05,179.5,179.5,180.5,178.5,2046438.0
31,2019-02-06,180.0,180.0,180.0,179.0,2945301.0
32,2019-02-07,183.5,180.0,185.0,179.0,16662707.0
33,2019-02-08,188.0,184.0,188.0,182.0,16344558.0
34,2019-02-11,181.0,183.5,184.0,181.0,12060149.0
